iter	Passed	Remaining
401	13011	19355
402	13043	19322
403	13069	19281
404	13096	19240
405	13122	19199
406	13154	19166
407	13186	19132
408	13216	19098
409	13246	19062
410	13276	19027
411	13300	18982
412	13329	18944
413	13355	18904
414	13383	18866
415	13411	18828
416	13441	18791
417	13465	18748
418	13492	18708
419	13522	18673
420	13549	18635
421	13576	18594
422	13600	18551
423	13629	18516
424	13679	18506
425	13723	18490
426	13763	18469
427	13820	18470
428	13873	18465
429	13931	18466
430	13985	18463
431	14027	18443
432	14061	18413
433	14090	18376
434	14117	18336
435	14144	18297
436	14173	18260
437	14201	18221
438	14226	18180
439	14253	18141
440	14280	18101
441	14311	18067
442	14344	18035
443	14377	18004
444	14411	17973
445	14445	17943
446	14477	17910
447	14506	17873
448	14538	17840
449	14569	17807
450	14602	17776
451	14634	17742
452	14658	17700
453	14688	17664
454	14715	17625
455	14743	17588
456	14772	17552
457	14808	17524
458	14837	17487
459	14862	17447
460	14886	17405
461	14917	17371
462	14945	17333
463	14972	17296
464	15002	17261
465	15030	17223
466	15054	17182
467	15080	17142
468	15107	17104
469	15136	17068
470	15165	17033
471	15190	16992
472	15220	16957
473	15248	16921
474	15275	16883
475	15305	16848
476	15333	16812
477	15361	16775
478	15388	16737
479	15415	16699
480	15441	16661
481	15469	16624
482	15496	16587
483	15517	16543
484	15542	16504
485	15566	16463
486	15593	16425
487	15614	16382
488	15639	16342
489	15665	16305
490	15691	16266
491	15713	16224
492	15739	16186
493	15765	16148
494	15793	16112
495	15813	16068
496	15839	16031
497	15865	15992
498	15893	15957
499	15922	15922
500	15947	15884
501	15976	15849
502	16003	15812
503	16031	15777
504	16059	15741
505	16092	15710
506	16123	15678
507	16154	15645
508	16179	15607
509	16206	15571
510	16235	15536
511	16263	15500
512	16292	15466
513	16321	15432
514	16346	15394
515	16375	15359
516	16404	15325
517	16431	15289
518	16459	15254
519	16487	15219
520	16510	15179
521	16537	15143
522	16562	15105
523	16590	15070
524	16618	15035
525	16641	14996
526	16665	14957
527	16691	14921
528	16717	14885
529	16739	14844
530	16763	14806
531	16789	14769
532	16814	14732
533	16837	14693
534	16864	14658
535	16893	14623
536	16923	14591
537	16954	14559
538	16980	14523
539	17002	14483
540	17027	14446
541	17053	14410
542	17078	14373
543	17104	14337
544	17133	14304
545	17163	14271
546	17190	14235
547	17217	14201
548	17239	14161
549	17266	14126
550	17292	14090
551	17322	14058
552	17351	14025
553	17379	13991
554	17402	13953
555	17429	13918
556	17455	13882
557	17482	13848
558	17511	13814
559	17535	13777
560	17559	13740
561	17583	13703
562	17610	13669
563	17633	13631
564	17658	13595
565	17683	13559
566	17711	13526
567	17734	13488
568	17759	13452
569	17785	13417
570	17812	13382
571	17839	13348
572	17861	13310
573	17889	13276
574	17916	13242
575	17944	13209
576	17965	13170
577	17990	13135
578	18017	13100
579	18044	13066
580	18071	13032
581	18096	12997
582	18123	12963
583	18150	12928
584	18176	12894
585	18199	12857
586	18222	12821
587	18247	12785
588	18271	12750
589	18294	12713
590	18322	12679
591	18346	12644
592	18372	12609
593	18393	12572
594	18417	12536
595	18442	12501
596	18469	12467
597	18491	12430
598	18516	12395
599	18542	12361
600	18569	12328
601	18592	12292
602	18619	12258
603	18646	12225
604	18676	12193
605	18707	12162
606	18734	12129
607	18760	12095
608	18787	12062
609	18817	12031
610	18848	11999
611	18876	11967
612	18906	11936
613	18937	11905
614	18964	11872
615	18987	11836
616	19015	11803
617	19041	11770
618	19070	11738
619	19098	11705
620	19121	11669
621	19147	11636
622	19171	11601
623	19198	11568
624	19223	11533
625	19249	11500
626	19273	11465
627	19300	11432
628	19329	11401
629	19353	11366
630	19379	11333
631	19404	11299
632	19431	11265
633	19455	11231
634	19481	11198
635	19507	11164
636	19535	11132
637	19564	11100
638	19588	11066
639	19616	11034
640	19646	11003
641	19673	10970
642	19701	10938
643	19730	10906
644	19753	10872
645	19780	10839
646	19808	10807
647	19838	10776
648	19866	10744
649	19896	10713
650	19925	10682
651	19956	10651
652	19982	10618
653	20008	10585
654	20034	10552
655	20062	10520
656	20093	10489
657	20127	10461
658	20154	10429
659	20176	10393
660	20201	10360
661	20227	10327
662	20253	10294
663	20275	10260
664	20302	10227
665	20327	10194
666	20352	10160
667	20373	10125
668	20399	10093
669	20427	10061
670	20452	10027
671	20473	9993
672	20499	9960
673	20526	9928
674	20553	9896
